ts,s8lp,sen0220,t3022,scd30,cjmcu811
2021-07-26 14:03:21.222,814.0,,,,
2021-07-26 14:03:23.652,,797.0,,,
2021-07-26 14:03:23.795,,,,746.0,
2021-07-26 14:03:26.223,815.0,,,,
2021-07-26 14:03:26.331,,,,,2842.0
2021-07-26 14:03:30.206,,797.0,,,
2021-07-26 14:03:31.206,815.0,,,,
2021-07-26 14:03:31.986,,,,746.0,
2021-07-26 14:03:32.343,,,,,2842.0
2021-07-26 14:03:34.536,,,670.0,,
2021-07-26 14:03:36.200,815.0,,,,
2021-07-26 14:03:36.766,,798.0,,,
2021-07-26 14:03:38.360,,,,,2828.0
2021-07-26 14:03:40.179,,,,747.0,
2021-07-26 14:03:41.196,815.0,,,,
2021-07-26 14:03:43.336,,797.0,,,
2021-07-26 14:03:44.380,,,,,2862.0
2021-07-26 14:03:45.682,,,673.0,,
2021-07-26 14:03:46.182,815.0,,,,
2021-07-26 14:03:48.376,,,,747.0,
2021-07-26 14:03:49.896,,797.0,,,
2021-07-26 14:03:50.386,,,,,2906.0
2021-07-26 14:03:51.173,815.0,,,,
2021-07-26 14:03:56.161,816.0,,,,
2021-07-26 14:03:56.401,,,,,2927.0
2021-07-26 14:03:56.567,,,,747.0,
2021-07-26 14:03:57.809,,,677.0,,
2021-07-26 14:04:01.172,816.0,,,,
2021-07-26 14:04:02.405,,,,,2965.0
2021-07-26 14:04:03.016,,798.0,,,
2021-07-26 14:04:04.757,,,,747.0,
2021-07-26 14:04:06.150,816.0,,,,
2021-07-26 14:04:08.418,,,,,2985.0
2021-07-26 14:04:09.576,,798.0,,,
2021-07-26 14:04:11.143,816.0,,,,
2021-07-26 14:04:11.941,,,682.0,,
2021-07-26 14:04:12.952,,,,746.0,
2021-07-26 14:04:14.435,,,,,3002.0
2021-07-26 14:04:16.136,,800.0,,,
2021-07-26 14:04:16.146,816.0,,,,
2021-07-26 14:04:20.447,,,,,3025.0
2021-07-26 14:04:21.068,,,685.0,,
2021-07-26 14:04:21.131,816.0,,,,
2021-07-26 14:04:21.146,,,,746.0,
2021-07-26 14:04:22.696,,799.0,,,
2021-07-26 14:04:26.127,817.0,,,,
2021-07-26 14:04:26.458,,,,,3090.0
2021-07-26 14:04:29.256,,799.0,,,
2021-07-26 14:04:29.338,,,,747.0,
2021-07-26 14:04:31.119,817.0,,,,
2021-07-26 14:04:32.472,,,,,3068.0
2021-07-26 14:04:33.198,,,689.0,,
2021-07-26 14:04:35.816,,800.0,,,
2021-07-26 14:04:36.112,817.0,,,,
2021-07-26 14:04:37.529,,,,748.0,
2021-07-26 14:04:38.484,,,,,3090.0
2021-07-26 14:04:41.108,817.0,,,,
2021-07-26 14:04:41.324,,,693.0,,
2021-07-26 14:04:42.376,,798.0,,,
2021-07-26 14:04:44.498,,,,,3108.0
2021-07-26 14:04:45.724,,,,750.0,
2021-07-26 14:04:46.091,817.0,,,,
2021-07-26 14:04:48.936,,798.0,,,
2021-07-26 14:04:49.453,,,697.0,,
2021-07-26 14:04:50.508,,,,,3108.0
2021-07-26 14:04:51.088,817.0,,,,
2021-07-26 14:04:53.918,,,,751.0,
2021-07-26 14:04:55.496,,797.0,,,
2021-07-26 14:04:56.085,818.0,,,,
2021-07-26 14:04:56.522,,,,,3126.0
2021-07-26 14:04:58.586,,,699.0,,
2021-07-26 14:05:01.072,818.0,,,,
2021-07-26 14:05:02.056,,798.0,,,
2021-07-26 14:05:02.108,,,,751.0,
2021-07-26 14:05:02.536,,,,,3195.0
2021-07-26 14:05:03.710,,,700.0,,
2021-07-26 14:05:06.065,818.0,,,,
2021-07-26 14:05:08.550,,,,,3126.0
2021-07-26 14:05:10.304,,,,752.0,
2021-07-26 14:05:11.057,818.0,,,,
2021-07-26 14:05:12.840,,,704.0,,
2021-07-26 14:05:14.553,,,,,3174.0
2021-07-26 14:05:15.176,,799.0,,,
2021-07-26 14:05:16.047,817.0,,,,
2021-07-26 14:05:18.496,,,,752.0,
2021-07-26 14:05:20.577,,,,,3222.0
2021-07-26 14:05:21.046,818.0,,,,
2021-07-26 14:05:21.736,,798.0,,,
2021-07-26 14:05:21.969,,,708.0,,
2021-07-26 14:05:26.035,818.0,,,,
2021-07-26 14:05:26.606,,,,,3150.0
2021-07-26 14:05:26.690,,,,753.0,
2021-07-26 14:05:28.296,,799.0,,,
2021-07-26 14:05:29.096,,,711.0,,
2021-07-26 14:05:31.031,818.0,,,,
2021-07-26 14:05:32.625,,,,,3222.0
2021-07-26 14:05:34.856,,798.0,,,
2021-07-26 14:05:34.883,,,,752.0,
2021-07-26 14:05:36.030,818.0,,,,
2021-07-26 14:05:38.639,,,,,3222.0
2021-07-26 14:05:39.227,,,714.0,,
2021-07-26 14:05:41.018,818.0,,,,
2021-07-26 14:05:41.416,,799.0,,,
2021-07-26 14:05:43.073,,,,752.0,
2021-07-26 14:05:44.653,,,,,3222.0
2021-07-26 14:05:45.354,,,716.0,,
2021-07-26 14:05:46.018,818.0,,,,
2021-07-26 14:05:47.976,,800.0,,,
2021-07-26 14:05:50.665,,,,,3222.0
2021-07-26 14:05:51.011,818.0,,,,
2021-07-26 14:05:51.266,,,,751.0,
2021-07-26 14:05:53.483,,,717.0,,
2021-07-26 14:05:54.536,,801.0,,,
2021-07-26 14:05:56.004,818.0,,,,
2021-07-26 14:05:56.680,,,,,3195.0
2021-07-26 14:05:59.459,,,,751.0,
2021-07-26 14:06:00.997,817.0,,,,
2021-07-26 14:06:01.096,,802.0,,,
2021-07-26 14:06:02.691,,,,,3263.0
2021-07-26 14:06:03.611,,,721.0,,
2021-07-26 14:06:05.994,817.0,,,,
2021-07-26 14:06:07.659,,802.0,,,
2021-07-26 14:06:07.669,,,,752.0,
2021-07-26 14:06:08.704,,,,,3291.0
2021-07-26 14:06:10.984,816.0,,,,
2021-07-26 14:06:11.742,,,725.0,,
2021-07-26 14:06:14.227,,801.0,,,
2021-07-26 14:06:14.716,,,,,3291.0
2021-07-26 14:06:15.871,,,,752.0,
2021-07-26 14:06:15.958,816.0,,,,
2021-07-26 14:06:16.872,,,727.0,,
2021-07-26 14:06:20.738,,,,,3366.0
2021-07-26 14:06:20.972,816.0,,,,
2021-07-26 14:06:24.023,,,730.0,,
2021-07-26 14:06:24.036,,,,751.0,
2021-07-26 14:06:25.966,816.0,,,,
2021-07-26 14:06:26.742,,,,,3366.0
2021-07-26 14:06:27.347,,801.0,,,
2021-07-26 14:06:30.161,,,732.0,,
2021-07-26 14:06:30.955,816.0,,,,
2021-07-26 14:06:32.230,,,,750.0,
