ts,s8lp,sen0220,t3022,scd30,cjmcu811
2021-07-26 16:37:53.774,536.0,,,,
2021-07-26 16:37:54.005,,,,478.0,
2021-07-26 16:37:55.382,,,501.0,,
2021-07-26 16:37:56.660,,532.0,,,
2021-07-26 16:37:58.772,537.0,,,,
2021-07-26 16:37:59.764,,,,,3360.0
2021-07-26 16:38:02.197,,,,478.0,
2021-07-26 16:38:02.508,,,502.0,,
2021-07-26 16:38:03.220,,531.0,,,
2021-07-26 16:38:03.764,536.0,,,,
2021-07-26 16:38:05.776,,,,,3360.0
2021-07-26 16:38:08.764,537.0,,,,
2021-07-26 16:38:09.638,,,503.0,,
2021-07-26 16:38:09.780,,531.0,,,
2021-07-26 16:38:10.395,,,,478.0,
2021-07-26 16:38:11.792,,,,,3382.0
2021-07-26 16:38:13.759,536.0,,,,
2021-07-26 16:38:16.342,,532.0,,,
2021-07-26 16:38:16.767,,,504.0,,
2021-07-26 16:38:17.808,,,,,3382.0
2021-07-26 16:38:18.585,,,,479.0,
2021-07-26 16:38:18.751,536.0,,,,
2021-07-26 16:38:22.901,,530.0,,,
2021-07-26 16:38:23.750,536.0,,,,
2021-07-26 16:38:23.817,,,,,3382.0
2021-07-26 16:38:24.896,,,506.0,,
2021-07-26 16:38:26.781,,,,479.0,
2021-07-26 16:38:28.746,536.0,,,,
2021-07-26 16:38:29.460,,530.0,,,
2021-07-26 16:38:29.831,,,,,3400.0
2021-07-26 16:38:31.027,,,506.0,,
2021-07-26 16:38:33.741,536.0,,,,
2021-07-26 16:38:34.974,,,,479.0,
2021-07-26 16:38:35.846,,,,,3382.0
2021-07-26 16:38:38.157,,,508.0,,
2021-07-26 16:38:38.734,536.0,,,,
2021-07-26 16:38:41.847,,,,,3400.0
2021-07-26 16:38:42.580,,532.0,,,
2021-07-26 16:38:43.167,,,,480.0,
2021-07-26 16:38:43.734,536.0,,,,
2021-07-26 16:38:44.281,,,509.0,,
2021-07-26 16:38:47.868,,,,,3400.0
2021-07-26 16:38:48.725,536.0,,,,
2021-07-26 16:38:49.150,,532.0,,,
2021-07-26 16:38:51.359,,,,479.0,
2021-07-26 16:38:51.409,,,509.0,,
2021-07-26 16:38:53.722,536.0,,,,
2021-07-26 16:38:53.880,,,,,3400.0
2021-07-26 16:38:55.711,,532.0,,,
2021-07-26 16:38:56.540,,,510.0,,
2021-07-26 16:38:58.721,537.0,,,,
2021-07-26 16:38:59.552,,,,480.0,
2021-07-26 16:38:59.894,,,,,3422.0
2021-07-26 16:39:01.667,,,510.0,,
2021-07-26 16:39:02.271,,531.0,,,
2021-07-26 16:39:03.715,537.0,,,,
2021-07-26 16:39:05.910,,,,,3451.0
2021-07-26 16:39:06.793,,,511.0,,
2021-07-26 16:39:07.742,,,,479.0,
2021-07-26 16:39:08.711,537.0,,,,
2021-07-26 16:39:08.831,,531.0,,,
2021-07-26 16:39:11.926,,,,,3422.0
2021-07-26 16:39:13.697,537.0,,,,
2021-07-26 16:39:15.391,,531.0,,,
2021-07-26 16:39:15.935,,,,479.0,
2021-07-26 16:39:17.923,,,513.0,,
2021-07-26 16:39:17.935,,,,,3451.0
2021-07-26 16:39:18.701,536.0,,,,
2021-07-26 16:39:21.951,,531.0,,,
2021-07-26 16:39:23.697,536.0,,,,
2021-07-26 16:39:23.948,,,,,3451.0
2021-07-26 16:39:24.126,,,,479.0,
2021-07-26 16:39:25.053,,,514.0,,
2021-07-26 16:39:28.511,,531.0,,,
2021-07-26 16:39:28.686,536.0,,,,
2021-07-26 16:39:29.961,,,,,3422.0
2021-07-26 16:39:30.181,,,515.0,,
2021-07-26 16:39:32.321,,,,479.0,
2021-07-26 16:39:33.682,536.0,,,,
2021-07-26 16:39:35.071,,532.0,,,
2021-07-26 16:39:35.307,,,516.0,,
2021-07-26 16:39:35.979,,,,,3451.0
2021-07-26 16:39:38.678,536.0,,,,
2021-07-26 16:39:40.517,,,,480.0,
2021-07-26 16:39:41.631,,531.0,,,
2021-07-26 16:39:41.991,,,,,3451.0
2021-07-26 16:39:42.434,,,517.0,,
2021-07-26 16:39:43.671,536.0,,,,
2021-07-26 16:39:48.007,,,,,3451.0
2021-07-26 16:39:48.666,537.0,,,,
2021-07-26 16:39:48.710,,,,480.0,
2021-07-26 16:39:49.565,,,518.0,,
2021-07-26 16:39:53.657,537.0,,,,
2021-07-26 16:39:54.008,,,,,3474.0
2021-07-26 16:39:54.751,,532.0,,,
2021-07-26 16:39:56.904,,,,480.0,
2021-07-26 16:39:57.695,,,518.0,,
2021-07-26 16:39:58.649,538.0,,,,
2021-07-26 16:40:00.020,,,,,3474.0
2021-07-26 16:40:01.311,,532.0,,,
2021-07-26 16:40:02.693,,,519.0,,
2021-07-26 16:40:03.645,538.0,,,,
2021-07-26 16:40:05.097,,,,481.0,
2021-07-26 16:40:06.034,,,,,3474.0
2021-07-26 16:40:07.871,,532.0,,,
2021-07-26 16:40:08.641,538.0,,,,
2021-07-26 16:40:08.822,,,520.0,,
2021-07-26 16:40:12.049,,,,,3496.0
2021-07-26 16:40:13.293,,,,480.0,
2021-07-26 16:40:13.629,538.0,,,,
2021-07-26 16:40:13.950,,,521.0,,
2021-07-26 16:40:14.431,,531.0,,,
2021-07-26 16:40:18.063,,,,,3496.0
2021-07-26 16:40:18.622,539.0,,,,
2021-07-26 16:40:20.992,,530.0,,,
2021-07-26 16:40:21.079,,,521.0,,
2021-07-26 16:40:21.485,,,,481.0,
2021-07-26 16:40:23.619,539.0,,,,
2021-07-26 16:40:24.078,,,,,3496.0
2021-07-26 16:40:27.205,,,522.0,,
2021-07-26 16:40:27.562,,532.0,,,
2021-07-26 16:40:28.614,539.0,,,,
2021-07-26 16:40:29.679,,,,481.0,
2021-07-26 16:40:30.092,,,,,3496.0
2021-07-26 16:40:33.596,539.0,,,,
2021-07-26 16:40:34.122,,533.0,,,
2021-07-26 16:40:36.110,,,,,3496.0
2021-07-26 16:40:36.336,,,523.0,,
2021-07-26 16:40:37.872,,,,481.0,
2021-07-26 16:40:38.597,540.0,,,,
2021-07-26 16:40:40.682,,532.0,,,
2021-07-26 16:40:42.126,,,,,3496.0
2021-07-26 16:40:43.463,,,524.0,,
2021-07-26 16:40:43.599,540.0,,,,
2021-07-26 16:40:46.070,,,,482.0,
2021-07-26 16:40:47.242,,532.0,,,
2021-07-26 16:40:48.140,,,,,3496.0
2021-07-26 16:40:48.591,540.0,,,,
2021-07-26 16:40:51.592,,,524.0,,
2021-07-26 16:40:53.579,541.0,,,,
2021-07-26 16:40:53.803,,533.0,,,
2021-07-26 16:40:54.152,,,,,3517.0
2021-07-26 16:40:54.263,,,,482.0,
2021-07-26 16:40:58.574,540.0,,,,
2021-07-26 16:41:00.169,,,,,3496.0
2021-07-26 16:41:00.719,,,524.0,,
2021-07-26 16:41:02.458,,,,482.0,
2021-07-26 16:41:03.569,540.0,,,,
2021-07-26 16:41:06.173,,,,,3496.0
2021-07-26 16:41:06.925,,535.0,,,
2021-07-26 16:41:08.566,540.0,,,,
2021-07-26 16:41:10.649,,,,483.0,
2021-07-26 16:41:11.852,,,525.0,,
2021-07-26 16:41:12.188,,,,,3517.0
2021-07-26 16:41:13.485,,534.0,,,
2021-07-26 16:41:13.560,540.0,,,,
2021-07-26 16:41:17.979,,,526.0,,
2021-07-26 16:41:18.201,,,,,3517.0
2021-07-26 16:41:18.550,541.0,,,,
2021-07-26 16:41:18.841,,,,483.0,
2021-07-26 16:41:20.045,,535.0,,,
2021-07-26 16:41:23.106,,,526.0,,
2021-07-26 16:41:23.540,541.0,,,,
2021-07-26 16:41:24.215,,,,,3517.0
2021-07-26 16:41:26.605,,535.0,,,
2021-07-26 16:41:27.035,,,,483.0,
2021-07-26 16:41:28.543,540.0,,,,
2021-07-26 16:41:30.230,,,,,3543.0
2021-07-26 16:41:30.233,,,526.0,,
2021-07-26 16:41:33.165,,534.0,,,
2021-07-26 16:41:33.535,541.0,,,,
2021-07-26 16:41:35.230,,,,483.0,
2021-07-26 16:41:36.250,,,,,3517.0
2021-07-26 16:41:36.358,,,526.0,,
2021-07-26 16:41:38.523,540.0,,,,
2021-07-26 16:41:39.726,,534.0,,,
2021-07-26 16:41:42.263,,,,,3517.0
2021-07-26 16:41:43.422,,,,483.0,
2021-07-26 16:41:43.513,540.0,,,,
2021-07-26 16:41:46.286,,535.0,,,
2021-07-26 16:41:46.489,,,527.0,,
2021-07-26 16:41:48.275,,,,,3543.0
2021-07-26 16:41:48.511,540.0,,,,
2021-07-26 16:41:51.617,,,,483.0,
2021-07-26 16:41:52.619,,,527.0,,
2021-07-26 16:41:52.846,,535.0,,,
2021-07-26 16:41:53.503,540.0,,,,
2021-07-26 16:41:54.286,,,,,3543.0
2021-07-26 16:41:57.748,,,527.0,,
2021-07-26 16:41:58.498,540.0,,,,
2021-07-26 16:41:59.406,,535.0,,,
2021-07-26 16:41:59.811,,,,483.0,
2021-07-26 16:42:00.300,,,,,3543.0
2021-07-26 16:42:03.489,541.0,,,,
2021-07-26 16:42:03.874,,,527.0,,
2021-07-26 16:42:05.966,,534.0,,,
2021-07-26 16:42:06.310,,,,,3543.0
2021-07-26 16:42:08.008,,,,482.0,
2021-07-26 16:42:08.488,541.0,,,,
2021-07-26 16:42:09.005,,,528.0,,
2021-07-26 16:42:12.324,,,,,3543.0
2021-07-26 16:42:13.476,541.0,,,,
2021-07-26 16:42:15.134,,,529.0,,
2021-07-26 16:42:16.198,,,,481.0,
2021-07-26 16:42:18.326,,,,,3543.0
2021-07-26 16:42:18.469,540.0,,,,
2021-07-26 16:42:19.086,,536.0,,,
2021-07-26 16:42:20.262,,,529.0,,
2021-07-26 16:42:23.462,540.0,,,,
2021-07-26 16:42:24.341,,,,,3543.0
2021-07-26 16:42:24.389,,,,483.0,
2021-07-26 16:42:25.391,,,530.0,,
2021-07-26 16:42:25.646,,535.0,,,
2021-07-26 16:42:28.456,540.0,,,,
2021-07-26 16:42:30.352,,,,,3543.0
2021-07-26 16:42:32.207,,535.0,,,
2021-07-26 16:42:32.584,,,,483.0,
2021-07-26 16:42:33.455,541.0,,,,
2021-07-26 16:42:33.513,,,530.0,,
2021-07-26 16:42:36.363,,,,,3543.0
2021-07-26 16:42:38.443,541.0,,,,
2021-07-26 16:42:38.767,,535.0,,,
2021-07-26 16:42:40.776,,,,484.0,
2021-07-26 16:42:42.378,,,,,3543.0
2021-07-26 16:42:43.429,541.0,,,,
2021-07-26 16:42:44.643,,,531.0,,
2021-07-26 16:42:45.327,,536.0,,,
2021-07-26 16:42:48.392,,,,,3561.0
2021-07-26 16:42:48.423,542.0,,,,
2021-07-26 16:42:48.969,,,,484.0,
2021-07-26 16:42:51.887,,537.0,,,
2021-07-26 16:42:52.772,,,531.0,,
2021-07-26 16:42:53.423,542.0,,,,
2021-07-26 16:42:54.405,,,,,3561.0
2021-07-26 16:42:57.164,,,,484.0,
2021-07-26 16:42:58.413,542.0,,,,
2021-07-26 16:42:58.447,,536.0,,,
2021-07-26 16:42:58.897,,,531.0,,
2021-07-26 16:43:00.416,,,,,3561.0
2021-07-26 16:43:03.405,542.0,,,,
2021-07-26 16:43:05.007,,536.0,,,
2021-07-26 16:43:05.357,,,,485.0,
2021-07-26 16:43:06.432,,,,,3561.0
2021-07-26 16:43:08.399,542.0,,,,
2021-07-26 16:43:09.027,,,531.0,,
2021-07-26 16:43:11.567,,536.0,,,
2021-07-26 16:43:12.446,,,,,3561.0
2021-07-26 16:43:13.397,542.0,,,,
2021-07-26 16:43:13.549,,,,484.0,
2021-07-26 16:43:17.156,,,530.0,,
2021-07-26 16:43:18.128,,536.0,,,
2021-07-26 16:43:18.382,542.0,,,,
2021-07-26 16:43:18.460,,,,,3561.0
2021-07-26 16:43:21.742,,,,484.0,
2021-07-26 16:43:22.283,,,531.0,,
2021-07-26 16:43:23.375,542.0,,,,
2021-07-26 16:43:24.474,,,,,3561.0
2021-07-26 16:43:28.370,542.0,,,,
2021-07-26 16:43:28.412,,,530.0,,
2021-07-26 16:43:29.936,,,,485.0,
2021-07-26 16:43:30.478,,,,,3561.0
2021-07-26 16:43:31.247,,536.0,,,
2021-07-26 16:43:33.363,541.0,,,,
2021-07-26 16:43:33.408,,,531.0,,
2021-07-26 16:43:36.495,,,,,3561.0
2021-07-26 16:43:37.808,,535.0,,,
2021-07-26 16:43:38.128,,,,485.0,
2021-07-26 16:43:38.351,542.0,,,,
2021-07-26 16:43:41.538,,,531.0,,
2021-07-26 16:43:42.507,,,,,3561.0
2021-07-26 16:43:43.343,542.0,,,,
2021-07-26 16:43:44.378,,535.0,,,
2021-07-26 16:43:46.320,,,,486.0,
2021-07-26 16:43:46.666,,,531.0,,
2021-07-26 16:43:48.340,542.0,,,,
2021-07-26 16:43:48.523,,,,,3561.0
2021-07-26 16:43:50.938,,535.0,,,
2021-07-26 16:43:51.665,,,532.0,,
2021-07-26 16:43:53.340,542.0,,,,
2021-07-26 16:43:54.515,,,,486.0,
2021-07-26 16:43:54.533,,,,,3561.0
2021-07-26 16:43:56.794,,,532.0,,
2021-07-26 16:43:57.498,,534.0,,,
2021-07-26 16:43:58.335,543.0,,,,
2021-07-26 16:44:00.549,,,,,3561.0
2021-07-26 16:44:02.709,,,,485.0,
2021-07-26 16:44:02.921,,,532.0,,
2021-07-26 16:44:03.324,543.0,,,,
2021-07-26 16:44:04.058,,533.0,,,
2021-07-26 16:44:06.562,,,,,3561.0
2021-07-26 16:44:08.051,,,532.0,,
2021-07-26 16:44:08.315,543.0,,,,
2021-07-26 16:44:10.618,,534.0,,,
2021-07-26 16:44:10.905,,,,485.0,
2021-07-26 16:44:12.576,,,,,3561.0
2021-07-26 16:44:13.179,,,532.0,,
2021-07-26 16:44:13.310,542.0,,,,
2021-07-26 16:44:17.178,,535.0,,,
2021-07-26 16:44:18.305,542.0,,532.0,,
2021-07-26 16:44:18.593,,,,,3561.0
2021-07-26 16:44:19.102,,,,485.0,
2021-07-26 16:44:23.301,543.0,,,,
2021-07-26 16:44:23.738,,535.0,,,
2021-07-26 16:44:24.434,,,533.0,,
2021-07-26 16:44:24.610,,,,,3561.0
2021-07-26 16:44:27.289,,,,486.0,
2021-07-26 16:44:28.292,543.0,,,,
2021-07-26 16:44:29.432,,,533.0,,
2021-07-26 16:44:30.298,,534.0,,,
2021-07-26 16:44:30.625,,,,,3584.0
2021-07-26 16:44:33.284,542.0,,,,
2021-07-26 16:44:35.485,,,,486.0,
2021-07-26 16:44:35.559,,,533.0,,
2021-07-26 16:44:36.640,,,,,3584.0
2021-07-26 16:44:38.279,542.0,,,,
2021-07-26 16:44:42.643,,,,,3584.0
2021-07-26 16:44:43.275,542.0,,,,
2021-07-26 16:44:43.419,,532.0,,,
2021-07-26 16:44:43.676,,,,486.0,
2021-07-26 16:44:47.693,,,534.0,,
2021-07-26 16:44:48.265,543.0,,,,
2021-07-26 16:44:48.658,,,,,3584.0
2021-07-26 16:44:49.978,,531.0,,,
2021-07-26 16:44:51.871,,,,487.0,
2021-07-26 16:44:52.821,,,535.0,,
2021-07-26 16:44:53.260,543.0,,,,
2021-07-26 16:44:54.672,,,,,3584.0
2021-07-26 16:44:56.539,,532.0,,,
2021-07-26 16:44:58.245,543.0,,,,
2021-07-26 16:44:58.948,,,535.0,,
