ts,cdm4160,cjmcu811,sen0219,t3022,mh-z14a,sen0220,s8lp
2021-06-30 00:14:25.122,,,862.0,437.0,-1.0,,
2021-06-30 00:14:26.108,327.0,,,,,,
2021-06-30 00:14:26.621,,,,,,368.0,
2021-06-30 00:14:27.056,,3789.0,,,,,
2021-06-30 00:14:32.676,335.0,,,,,,
2021-06-30 00:14:33.087,,3789.0,,,,,
2021-06-30 00:14:39.089,,3789.0,,,,,
2021-06-30 00:14:39.235,314.0,,,,,,
2021-06-30 00:14:39.754,,,,,,371.0,
2021-06-30 00:14:40.688,,,500.0,439.0,-1.0,,
2021-06-30 00:14:45.120,,3789.0,,,,,
2021-06-30 00:14:45.795,283.0,,,,,,
2021-06-30 00:14:46.311,,,,,,371.0,
2021-06-30 00:14:51.153,,3789.0,,,,,
2021-06-30 00:14:52.366,277.0,,,,,,
2021-06-30 00:14:52.881,,,,,,371.0,
2021-06-30 00:14:56.235,,,803.0,440.0,-1.0,,
2021-06-30 00:14:57.179,,3789.0,,,,,
2021-06-30 00:14:58.925,323.0,,,,,,
2021-06-30 00:14:59.441,,,,,,371.0,
2021-06-30 00:15:03.207,,3789.0,,,,,
2021-06-30 00:15:05.486,324.0,,,,,,
2021-06-30 00:15:06.001,,,,,,372.0,
2021-06-30 00:15:09.237,,3789.0,,,,,
2021-06-30 00:15:11.795,,,671.0,441.0,-1.0,,
2021-06-30 00:15:12.045,325.0,,,,,,
2021-06-30 00:15:12.561,,,,,,371.0,
2021-06-30 00:15:15.267,,3789.0,,,,,
2021-06-30 00:15:18.606,369.0,,,,,,
2021-06-30 00:15:19.121,,,,,,371.0,
2021-06-30 00:15:21.299,,3789.0,,,,,
2021-06-30 00:15:25.176,320.0,,,,,,
2021-06-30 00:15:25.691,,,,,,370.0,
2021-06-30 00:15:27.334,,3789.0,,,,,
2021-06-30 00:15:27.479,,,934.0,442.0,-1.0,,
2021-06-30 00:15:31.746,321.0,,,,,,
2021-06-30 00:15:32.261,,,,,,371.0,
2021-06-30 00:15:33.362,,3789.0,,,,,
2021-06-30 00:15:38.316,276.0,,,,,,
2021-06-30 00:15:38.831,,,,,,370.0,
2021-06-30 00:15:39.396,,3789.0,,,,,
2021-06-30 00:15:44.886,346.0,,,,,,
2021-06-30 00:15:45.401,,,,,,370.0,
2021-06-30 00:15:45.427,,3804.0,,,,,
2021-06-30 00:15:45.631,,,500.0,442.0,-1.0,,
2021-06-30 00:15:51.429,,3804.0,,,,,
2021-06-30 00:15:51.455,330.0,,,,,,
2021-06-30 00:15:51.972,,,,,,369.0,
2021-06-30 00:15:57.462,,3789.0,,,,,
2021-06-30 00:15:58.026,357.0,,,,,,
