Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
113,,26.9 °C,20.4 °C,17.9 °C,58.2 %,1 ppm,852 ppm,,,,23/09/2021 04:49:35 p. m.
114,,26.9 °C,20.4 °C,17.9 °C,58.2 %,1 ppm,851 ppm,,,,23/09/2021 04:49:40 p. m.
115,,26.9 °C,20.4 °C,17.9 °C,58.2 %,1 ppm,851 ppm,,,,23/09/2021 04:49:45 p. m.
116,,26.9 °C,20.4 °C,17.9 °C,58.2 %,1 ppm,852 ppm,,,,23/09/2021 04:49:50 p. m.
117,,26.9 °C,20.5 °C,18.0 °C,58.2 %,1 ppm,850 ppm,,,,23/09/2021 04:49:55 p. m.
118,,26.9 °C,20.4 °C,17.9 °C,58.2 %,1 ppm,850 ppm,,,,23/09/2021 04:50:00 p. m.
119,,26.9 °C,20.5 °C,18.0 °C,58.3 %,1 ppm,859 ppm,,,,23/09/2021 04:50:05 p. m.
120,,26.9 °C,20.5 °C,18.0 °C,58.3 %,1 ppm,855 ppm,,,,23/09/2021 04:50:10 p. m.
121,,26.9 °C,20.5 °C,18.0 °C,58.3 %,1 ppm,859 ppm,,,,23/09/2021 04:50:15 p. m.
122,,26.9 °C,20.5 °C,18.0 °C,58.3 %,1 ppm,855 ppm,,,,23/09/2021 04:50:20 p. m.
123,,26.9 °C,20.5 °C,18.0 °C,58.3 %,1 ppm,852 ppm,,,,23/09/2021 04:50:25 p. m.
124,,26.9 °C,20.5 °C,18.0 °C,58.4 %,1 ppm,851 ppm,,,,23/09/2021 04:50:30 p. m.
125,,26.9 °C,20.5 °C,18.0 °C,58.4 %,1 ppm,856 ppm,,,,23/09/2021 04:50:35 p. m.
126,,26.9 °C,20.5 °C,18.0 °C,58.4 %,1 ppm,857 ppm,,,,23/09/2021 04:50:40 p. m.
127,,26.9 °C,20.5 °C,18.0 °C,58.5 %,1 ppm,857 ppm,,,,23/09/2021 04:50:45 p. m.
128,,26.9 °C,20.5 °C,18.0 °C,58.4 %,1 ppm,861 ppm,,,,23/09/2021 04:50:50 p. m.
129,,26.9 °C,20.5 °C,18.0 °C,58.4 %,1 ppm,868 ppm,,,,23/09/2021 04:50:55 p. m.
130,,26.9 °C,20.5 °C,18.0 °C,58.4 %,1 ppm,870 ppm,,,,23/09/2021 04:51:00 p. m.
131,,26.9 °C,20.5 °C,18.0 °C,58.4 %,1 ppm,872 ppm,,,,23/09/2021 04:51:05 p. m.
132,,26.9 °C,20.5 °C,18.0 °C,58.5 %,1 ppm,872 ppm,,,,23/09/2021 04:51:10 p. m.
133,,26.9 °C,20.5 °C,18.0 °C,58.5 %,1 ppm,877 ppm,,,,23/09/2021 04:51:15 p. m.
134,,26.9 °C,20.5 °C,18.0 °C,58.5 %,1 ppm,878 ppm,,,,23/09/2021 04:51:20 p. m.
135,,26.9 °C,20.5 °C,18.0 °C,58.4 %,1 ppm,881 ppm,,,,23/09/2021 04:51:25 p. m.
136,,26.9 °C,20.5 °C,18.0 °C,58.4 %,1 ppm,880 ppm,,,,23/09/2021 04:51:30 p. m.
137,,26.9 °C,20.5 °C,18.0 °C,58.4 %,1 ppm,876 ppm,,,,23/09/2021 04:51:35 p. m.
138,,26.9 °C,20.5 °C,18.0 °C,58.5 %,1 ppm,877 ppm,,,,23/09/2021 04:51:40 p. m.
139,,26.9 °C,20.5 °C,18.0 °C,58.5 %,1 ppm,877 ppm,,,,23/09/2021 04:51:45 p. m.
140,,26.9 °C,20.5 °C,18.0 °C,58.6 %,1 ppm,877 ppm,,,,23/09/2021 04:51:50 p. m.
141,,26.9 °C,20.5 °C,18.0 °C,58.6 %,1 ppm,877 ppm,,,,23/09/2021 04:51:55 p. m.
142,,26.9 °C,20.5 °C,18.0 °C,58.6 %,1 ppm,882 ppm,,,,23/09/2021 04:52:00 p. m.
143,,26.9 °C,20.5 °C,18.0 °C,58.6 %,1 ppm,883 ppm,,,,23/09/2021 04:52:05 p. m.
144,,26.9 °C,20.5 °C,18.0 °C,58.5 %,1 ppm,885 ppm,,,,23/09/2021 04:52:10 p. m.
145,,26.9 °C,20.5 °C,18.0 °C,58.5 %,1 ppm,878 ppm,,,,23/09/2021 04:52:15 p. m.
146,,26.9 °C,20.5 °C,18.0 °C,58.6 %,1 ppm,882 ppm,,,,23/09/2021 04:52:20 p. m.
147,,26.9 °C,20.5 °C,18.0 °C,58.6 %,1 ppm,887 ppm,,,,23/09/2021 04:52:25 p. m.
148,,26.9 °C,20.5 °C,18.0 °C,58.5 %,1 ppm,887 ppm,,,,23/09/2021 04:52:30 p. m.
149,,26.9 °C,20.5 °C,18.0 °C,58.5 %,1 ppm,888 ppm,,,,23/09/2021 04:52:35 p. m.
150,,26.9 °C,20.5 °C,18.0 °C,58.5 %,1 ppm,882 ppm,,,,23/09/2021 04:52:40 p. m.
151,,26.9 °C,20.5 °C,18.0 °C,58.6 %,1 ppm,883 ppm,,,,23/09/2021 04:52:45 p. m.
152,,26.9 °C,20.6 °C,18.1 °C,58.6 %,1 ppm,883 ppm,,,,23/09/2021 04:52:50 p. m.
153,,26.9 °C,20.5 °C,18.0 °C,58.6 %,1 ppm,893 ppm,,,,23/09/2021 04:52:55 p. m.
