Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
286,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,477 ppm,,,,13/09/2021 09:36:53 a. m.
287,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,478 ppm,,,,13/09/2021 09:36:54 a. m.
288,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,478 ppm,,,,13/09/2021 09:36:55 a. m.
289,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:36:56 a. m.
290,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:36:57 a. m.
291,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,481 ppm,,,,13/09/2021 09:36:58 a. m.
292,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,481 ppm,,,,13/09/2021 09:36:59 a. m.
293,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:00 a. m.
294,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:01 a. m.
295,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:02 a. m.
296,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:03 a. m.
297,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:04 a. m.
298,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:05 a. m.
299,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,481 ppm,,,,13/09/2021 09:37:06 a. m.
300,,25.3 °C,21.2 °C,19.8 °C,71.8 %,0 ppm,481 ppm,,,,13/09/2021 09:37:07 a. m.
301,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,480 ppm,,,,13/09/2021 09:37:08 a. m.
302,,25.3 °C,21.2 °C,19.8 °C,71.8 %,0 ppm,480 ppm,,,,13/09/2021 09:37:09 a. m.
303,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:37:10 a. m.
304,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:37:11 a. m.
305,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:37:12 a. m.
306,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:37:13 a. m.
307,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,480 ppm,,,,13/09/2021 09:37:14 a. m.
308,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,480 ppm,,,,13/09/2021 09:37:15 a. m.
309,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:37:16 a. m.
310,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:37:17 a. m.
311,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:37:18 a. m.
312,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:37:19 a. m.
313,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,479 ppm,,,,13/09/2021 09:37:20 a. m.
314,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,481 ppm,,,,13/09/2021 09:37:21 a. m.
315,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,481 ppm,,,,13/09/2021 09:37:22 a. m.
316,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,481 ppm,,,,13/09/2021 09:37:23 a. m.
317,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,481 ppm,,,,13/09/2021 09:37:24 a. m.
318,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,481 ppm,,,,13/09/2021 09:37:25 a. m.
319,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,482 ppm,,,,13/09/2021 09:37:26 a. m.
320,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,482 ppm,,,,13/09/2021 09:37:27 a. m.
321,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,484 ppm,,,,13/09/2021 09:37:28 a. m.
322,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,484 ppm,,,,13/09/2021 09:37:29 a. m.
323,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,484 ppm,,,,13/09/2021 09:37:30 a. m.
324,,25.3 °C,21.3 °C,19.8 °C,71.8 %,1 ppm,485 ppm,,,,13/09/2021 09:37:31 a. m.
325,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,484 ppm,,,,13/09/2021 09:37:32 a. m.
326,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,484 ppm,,,,13/09/2021 09:37:33 a. m.
327,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:34 a. m.
328,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:35 a. m.
329,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,484 ppm,,,,13/09/2021 09:37:36 a. m.
330,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,484 ppm,,,,13/09/2021 09:37:37 a. m.
331,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,483 ppm,,,,13/09/2021 09:37:38 a. m.
