Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
82,,25.5 °C,20.9 °C,19.2 °C,68.5 %,1 ppm,620 ppm,,,,30/06/2021 01:16:48 p. m.
83,,25.5 °C,20.9 °C,19.2 °C,68.5 %,1 ppm,624 ppm,,,,30/06/2021 01:16:53 p. m.
84,,25.5 °C,20.9 °C,19.2 °C,68.5 %,1 ppm,625 ppm,,,,30/06/2021 01:16:58 p. m.
85,,25.5 °C,20.9 °C,19.2 °C,68.5 %,1 ppm,626 ppm,,,,30/06/2021 01:17:03 p. m.
86,,25.5 °C,20.9 °C,19.2 °C,68.5 %,1 ppm,631 ppm,,,,30/06/2021 01:17:08 p. m.
87,,25.5 °C,20.9 °C,19.2 °C,68.5 %,0 ppm,636 ppm,,,,30/06/2021 01:17:13 p. m.
88,,25.5 °C,20.9 °C,19.2 °C,68.5 %,0 ppm,639 ppm,,,,30/06/2021 01:17:18 p. m.
89,,25.5 °C,20.9 °C,19.2 °C,68.5 %,1 ppm,637 ppm,,,,30/06/2021 01:17:23 p. m.
90,,25.5 °C,20.9 °C,19.2 °C,68.5 %,1 ppm,637 ppm,,,,30/06/2021 01:17:28 p. m.
91,,25.6 °C,21.0 °C,19.3 °C,68.5 %,1 ppm,638 ppm,,,,30/06/2021 01:17:33 p. m.
92,,25.5 °C,20.9 °C,19.2 °C,68.5 %,1 ppm,640 ppm,,,,30/06/2021 01:17:38 p. m.
93,,25.6 °C,21.0 °C,19.3 °C,68.5 %,1 ppm,643 ppm,,,,30/06/2021 01:17:43 p. m.
94,,25.6 °C,21.0 °C,19.3 °C,68.5 %,1 ppm,641 ppm,,,,30/06/2021 01:17:48 p. m.
95,,25.6 °C,21.0 °C,19.3 °C,68.5 %,0 ppm,642 ppm,,,,30/06/2021 01:17:53 p. m.
96,,25.6 °C,21.0 °C,19.3 °C,68.5 %,1 ppm,641 ppm,,,,30/06/2021 01:17:58 p. m.
97,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,642 ppm,,,,30/06/2021 01:18:03 p. m.
98,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,642 ppm,,,,30/06/2021 01:18:08 p. m.
99,,25.6 °C,21.0 °C,19.3 °C,68.5 %,1 ppm,643 ppm,,,,30/06/2021 01:18:13 p. m.
100,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,640 ppm,,,,30/06/2021 01:18:18 p. m.
101,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,638 ppm,,,,30/06/2021 01:18:23 p. m.
102,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,642 ppm,,,,30/06/2021 01:18:28 p. m.
103,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,643 ppm,,,,30/06/2021 01:18:33 p. m.
104,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,643 ppm,,,,30/06/2021 01:18:38 p. m.
105,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,649 ppm,,,,30/06/2021 01:18:43 p. m.
106,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,651 ppm,,,,30/06/2021 01:18:48 p. m.
107,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,652 ppm,,,,30/06/2021 01:18:53 p. m.
108,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,657 ppm,,,,30/06/2021 01:18:58 p. m.
109,,25.6 °C,21.0 °C,19.3 °C,68.4 %,0 ppm,658 ppm,,,,30/06/2021 01:19:03 p. m.
110,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,660 ppm,,,,30/06/2021 01:19:08 p. m.
111,,25.6 °C,21.0 °C,19.3 °C,68.4 %,1 ppm,657 ppm,,,,30/06/2021 01:19:13 p. m.
112,,25.6 °C,21.0 °C,19.3 °C,68.3 %,1 ppm,656 ppm,,,,30/06/2021 01:19:18 p. m.
113,,25.6 °C,21.0 °C,19.3 °C,68.3 %,1 ppm,655 ppm,,,,30/06/2021 01:19:23 p. m.
114,,25.6 °C,21.0 °C,19.3 °C,68.3 %,1 ppm,653 ppm,,,,30/06/2021 01:19:28 p. m.
115,,25.6 °C,21.0 °C,19.3 °C,68.3 %,1 ppm,652 ppm,,,,30/06/2021 01:19:33 p. m.
116,,25.6 °C,21.0 °C,19.3 °C,68.3 %,1 ppm,653 ppm,,,,30/06/2021 01:19:38 p. m.
